"","Cruise","Station","FishSpecies","FishNum","PreyNumber","GutItem","PreyTaxa","PreySpp","Ocularunits","Mag","Prey_mm","Scope","Total_prey","Total_gut","Comments_prey","Comments_gut","FL","STRATUM","TOW","BEGIN_GMT_TOWDATE","TOWDUR","AVGDEPTH","BEGLAT","BEGLON","DECDEG_BEGLAT","DECDEG_BEGLON","Llopiz_taxa","TSN","Scientific Name","Rank Name"
"1",201802,161,"P_tri","3",NA,"Appendicularia",NA,NA,NA,NA,NA,"M60",7,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Appendicularia",159664,"Appendicularia","Class"
"2",201802,161,"P_tri","3",NA,"Hyperiidae","Hyperia",NA,NA,NA,NA,"M60",1,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"Hyperia",95109,"Hyperia","Genus"
"3",201802,161,"P_tri","3",NA,"UnknownSoft",NA,NA,NA,NA,NA,"M60",13,21,NA,NA,171,1070,3,2018-04-19 15:05:00,19.99,137,4003.3349,7043.341,40.055582,-70.72235,"UnknownSoft",202423,"Animalia","Kingdom"
"4",201802,158,"P_tri","1",NA,"Mysida","Neomysis",NA,NA,NA,NA,"M60",1,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Neomysis",90054,"Neomysis","Genus"
"5",201802,158,"P_tri","1",NA,"Copepoda",NA,NA,NA,NA,NA,"M60",1,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Copepoda",85257,"Copepoda","Subclass"
"6",201802,158,"P_tri","1",NA,"CalanoidSmall","Centropages",NA,NA,NA,NA,"M60",3,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Centropages",85761,"Centropages","Genus"
"7",201802,158,"P_tri","1",NA,"Appendicularia",NA,NA,NA,NA,NA,"M60",1,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"Appendicularia",159664,"Appendicularia","Class"
"8",201802,158,"P_tri","1",NA,"UnknownSoft",NA,NA,NA,NA,NA,"M60",9,15,NA,NA,162,1080,3,2018-04-19 07:20:00,20.01,217,4003.6036,7101.0052,40.06006,-71.016753,"UnknownSoft",202423,"Animalia","Kingdom"
"9",201802,152,"A_aes","2",NA,"Appendicularia",NA,NA,NA,NA,NA,"M60",3,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Appendicularia",159664,"Appendicularia","Class"
"10",201802,152,"A_aes","2",NA,"Cumacea",NA,NA,NA,NA,NA,"M60",1,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Cumacea",90745,"Cumacea","Order"
"11",201802,152,"A_aes","2",NA,"Chaetognatha",NA,NA,NA,NA,NA,"M60",1,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Chaetognatha",158650,"Chaetognatha","Phylum"
"12",201802,152,"A_aes","2",NA,"Hyperiidae",NA,NA,NA,NA,NA,"M60",3,8,NA,NA,224,1060,4,2018-04-18 09:45:00,20,61,4037.1985,7146.4105,40.619975,-71.773508,"Hyperiidae",95108,"Hyperiidae","Family"
"13",201802,153,"C_har","2",NA,"Chaetognatha",NA,NA,NA,NA,NA,"M60",15,24,NA,NA,255,1060,2,2018-04-18 13:17:00,20.01,76,4022.6259,7145.1117,40.377098,-71.751862,"Chaetognatha",158650,"Chaetognatha","Phylum"
"14",201802,153,"C_har","2",NA,"Calanus",NA,NA,NA,NA,NA,"M60",1,24,"Juvenile",NA,255,1060,2,2018-04-18 13:17:00,20.01,76,4022.6259,7145.1117,40.377098,-71.751862,"Calanus",85263,"Calanus","Genus"
